Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,332.5,339.0,332.5,339.0,310.42901611328125,31754120
2020-01-03,344.0,345.0,335.5,339.5,310.8869934082031,41811268
2020-01-06,333.0,334.5,332.0,332.0,304.0190734863281,45343057
2020-01-07,332.5,333.0,326.5,329.5,301.7297668457031,50879181
2020-01-08,325.0,333.0,325.0,329.5,301.7297668457031,37567748
2020-01-09,335.0,337.5,333.5,337.5,309.0555114746094,31481504
2020-01-10,340.5,341.0,336.0,339.5,310.8869934082031,27032115
2020-01-13,342.0,342.0,339.0,341.5,312.7184143066406,30663332
2020-01-14,345.5,346.0,344.5,346.0,316.8391418457031,30223993
2020-01-15,345.0,345.0,337.5,340.0,311.3448791503906,47434274
2020-01-16,330.0,336.5,330.0,334.5,306.3083801269531,55211420
2020-01-17,334.0,335.5,332.0,333.0,304.9348449707031,52060097
2020-01-20,334.0,335.5,333.0,333.0,304.9348449707031,32658203
2020-01-30,326.0,326.0,316.5,316.5,289.82537841796875,125451049
2020-01-31,323.0,323.5,319.0,320.0,293.0303955078125,62526055
2020-02-03,315.0,316.5,312.0,315.0,288.45184326171875,59560849
2020-02-04,336.5,337.0,325.0,325.0,297.6090393066406,51890496
2020-02-05,329.0,329.5,324.5,327.5,299.8983154296875,36601453
2020-02-06,329.5,332.5,329.0,332.5,304.4769287109375,29267094
2020-02-07,330.0,330.5,326.0,328.0,300.3562316894531,28798327
2020-02-10,321.5,328.0,321.0,327.5,299.8983154296875,30632424
2020-02-11,330.5,332.5,330.0,331.5,303.5611877441406,27524935
2020-02-12,333.5,336.0,333.0,335.0,306.7662353515625,37612639
2020-02-13,338.0,338.0,335.0,335.0,306.7662353515625,22757021
2020-02-14,337.0,337.0,334.5,335.0,306.7662353515625,16933683
2020-02-17,331.5,333.0,330.5,331.5,303.5611877441406,15937079
2020-02-18,324.5,326.5,322.0,322.0,294.8618469238281,61825604
2020-02-19,322.5,327.0,322.0,326.5,298.98260498046875,38781218
2020-02-20,328.0,329.0,325.0,325.5,298.0668640136719,27011736
2020-02-21,325.5,326.5,323.0,325.0,297.6090393066406,22813534
2020-02-24,319.5,321.5,319.5,320.0,293.0303955078125,41693680
2020-02-25,320.0,323.5,317.5,322.0,294.8618469238281,36195011
2020-02-26,317.0,320.5,316.5,318.5,291.6568603515625,60479362
2020-02-27,319.0,320.0,315.0,316.0,289.3675231933594,61250927
2020-03-02,308.0,317.0,308.0,311.0,284.7889709472656,79912942
2020-03-03,318.5,320.0,316.0,317.5,290.7411804199219,49679411
2020-03-04,322.0,322.0,317.0,320.5,293.4883728027344,42941146
2020-03-05,325.0,326.0,323.0,323.0,295.7775573730469,37861525
2020-03-06,320.0,320.5,315.0,315.0,288.45184326171875,51546760
2020-03-09,307.5,310.0,305.5,305.5,279.7524719238281,87871277
2020-03-10,301.5,309.0,301.0,307.0,281.1260070800781,71950130
2020-03-11,309.0,310.5,302.0,302.0,276.5474853515625,62216710
2020-03-12,299.0,299.0,287.0,294.0,269.2217102050781,113527351
2020-03-13,275.0,294.0,272.5,290.0,265.5588073730469,149995148
2020-03-16,285.0,291.0,275.5,276.5,253.19662475585938,103873228
2020-03-17,265.0,276.5,265.0,268.0,245.41297912597656,121323651
2020-03-18,269.5,272.5,260.0,260.0,238.0872344970703,117437643
2020-03-19,252.0,253.0,235.5,248.0,229.30345153808594,160811697
2020-03-20,258.5,270.0,256.0,270.0,249.6448516845703,157664726
2020-03-23,257.0,262.5,252.0,255.0,235.7757110595703,76466709
2020-03-24,268.0,274.0,266.0,267.5,247.3333740234375,81952933
2020-03-25,276.5,280.0,274.0,277.0,256.11712646484375,79447199
2020-03-26,279.5,280.0,275.5,280.0,258.8909606933594,52845633
2020-03-27,284.0,286.0,273.0,273.0,252.41873168945312,68752306
2020-03-30,263.5,269.0,262.5,267.5,247.3333740234375,49159956
2020-03-31,273.0,274.0,269.5,274.0,253.34327697753906,48837923
2020-04-01,276.5,276.5,271.5,271.5,251.03175354003906,44515034
2020-04-06,273.0,275.5,270.0,275.5,254.7301788330078,56392754
2020-04-07,283.5,284.0,280.5,283.0,261.6647644042969,48787346
2020-04-08,285.0,285.5,283.0,285.0,263.51397705078125,37912826
2020-04-09,287.5,288.0,282.5,283.0,261.6647644042969,27620430
2020-04-10,280.0,282.0,279.0,279.5,258.4285888671875,27252858
2020-04-13,278.5,281.5,278.5,278.5,257.5040283203125,22196596
2020-04-14,281.0,285.5,280.0,285.0,263.51397705078125,48809688
2020-04-15,287.0,288.5,286.0,287.5,265.82550048828125,55216434
2020-04-16,283.0,288.5,283.0,286.5,264.9009094238281,47815280
2020-04-17,303.5,308.5,300.5,306.5,283.3931579589844,116368201
2020-04-20,308.0,309.0,302.5,304.0,281.0816650390625,41381669
2020-04-21,300.5,301.5,293.5,295.0,272.7600402832031,61479357
2020-04-22,294.5,295.0,290.5,294.0,271.8354797363281,42192580
2020-04-23,300.0,300.0,294.0,295.5,273.22247314453125,39474478
2020-04-24,295.5,297.0,294.0,294.0,271.8354797363281,26008090
2020-04-27,298.0,298.5,296.0,298.0,275.5339660644531,38493406
2020-04-28,298.5,298.5,294.5,296.5,274.14703369140625,37395165
2020-04-29,299.0,301.5,298.0,299.0,276.45855712890625,44059301
2020-04-30,302.0,305.0,301.5,304.5,281.54388427734375,55126085
2020-05-04,294.5,296.5,294.0,295.0,272.7600402832031,71581861
2020-05-05,296.5,298.0,295.0,295.5,273.22247314453125,23547405
2020-05-06,294.5,296.0,292.5,296.0,273.6847839355469,34240479
2020-05-07,294.5,299.0,294.5,297.5,275.07159423828125,27621198
2020-05-08,300.0,300.0,296.0,297.5,275.07159423828125,32295893
2020-05-11,300.0,301.5,298.5,301.0,278.3077392578125,28727019
2020-05-12,297.5,298.5,295.0,295.0,272.7600402832031,52089788
2020-05-13,293.0,297.0,292.5,297.0,274.609375,26156418
2020-05-14,293.0,295.0,292.5,293.0,270.910888671875,34315948
2020-05-15,297.5,298.5,294.5,298.0,275.5339660644531,42494804
2020-05-18,291.0,293.5,290.0,290.0,268.13702392578125,84986065
2020-05-19,294.0,294.0,291.5,291.5,269.5239562988281,51250214
2020-05-20,293.0,294.0,291.0,294.0,271.8354797363281,32677994
2020-05-21,296.0,298.0,295.0,297.5,275.07159423828125,30997468
2020-05-22,294.5,295.0,291.0,292.0,269.986328125,40192923
2020-05-25,290.5,293.0,288.5,292.0,269.986328125,26803223
2020-05-26,295.0,297.5,293.5,295.5,273.22247314453125,33856481
2020-05-27,297.0,298.0,295.5,296.5,274.14703369140625,23375959
2020-05-28,298.5,298.5,293.0,294.0,271.8354797363281,28444568
2020-05-29,292.0,292.5,290.0,292.0,269.986328125,79774181
2020-06-01,294.0,296.5,293.5,295.5,273.22247314453125,35811214
2020-06-02,296.0,297.5,296.0,296.5,274.14703369140625,24771587
2020-06-03,300.0,301.0,298.0,301.0,278.3077392578125,65176337
2020-06-04,305.0,306.0,304.0,306.0,282.93084716796875,46572451
2020-06-05,308.5,312.0,308.0,311.5,288.0162048339844,42981262
2020-06-08,316.0,319.0,315.0,318.0,294.026123046875,50302921
2020-06-09,316.5,319.0,314.0,319.0,294.9507751464844,36417082
2020-06-10,319.0,324.0,318.0,322.5,298.1869201660156,39984259
2020-06-11,325.5,327.0,318.5,320.5,296.3377685546875,50104255
2020-06-12,313.0,317.5,312.5,316.0,292.1768798828125,45992918
2020-06-15,316.0,317.5,308.5,309.5,286.16693115234375,51032404
2020-06-16,317.0,317.0,314.0,315.0,291.2523498535156,36608216
2020-06-17,316.5,317.0,313.5,315.0,291.2523498535156,34522968
2020-06-18,314.5,315.0,313.0,314.5,293.1163635253906,29044474
2020-06-19,314.0,314.5,312.0,314.5,293.1163635253906,48130280
2020-06-22,314.5,316.5,312.0,312.0,290.786376953125,37374616
2020-06-23,316.0,316.5,312.5,315.0,293.58233642578125,41300084
2020-06-24,319.0,320.0,316.0,317.5,295.912353515625,54147024
